"SampleIndex";"Sha256";"ShaShort";"Countermeasure";"Profile";"SampleOutcome";"FunctionalStatus";"FunctionalAnswer";"FunctionalEvidence";"BaselineDetectedPin";"CountermeasureMaskedPin";"PerformanceStatus";"RuntimeComparisonValid";"ResourceComparisonValid";"BaselineMedianSeconds";"CountermeasureMedianSeconds";"MedianDeltaSeconds";"MedianChangePercent";"BaselineMedianCpuSeconds";"CountermeasureMedianCpuSeconds";"MedianCpuChangePercent";"BaselineMedianPeakWorkingSetMB";"CountermeasureMedianPeakWorkingSetMB";"MedianPeakWorkingSetChangePercent";"DoReportAttempts";"SourceJson";"GeneratedAt"
"1";"1128D0B41456073E0B22E328CE4A89D0877F7D18147DF6B339A4CCE758A1DAAB";"1128D0B4";"DE";"persistent";"observed";"PASS";"Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -de.";"baseline: ""PIN_CRT_TZDATA=C:\TOMWare\pin/extras/crt/tzdata"" | ""PIN_CRT_TZDATA=C:\TOMWare\pin/extras/crt/tzdata"" (_dupenv_s) | Ocorrências: | Resumo de ocorrências: | PIN_APP_LD_LIBRARY_PATH : 0 | PIN_CRT_TZDATA          ...";"True";"True";"VALID";"False";"True";"10,17";"10,161";;;"9,438";"8,696";"-5,681";"521,572";"521,35";"-0,003";;"benchmark-benign-de-1128D0B4-20260722-133245.json";"2026-07-22T13:32:45.6056989-04:00"
"1";"1128D0B41456073E0B22E328CE4A89D0877F7D18147DF6B339A4CCE758A1DAAB";"1128D0B4";"DM";"persistent";"observed";"PASS";"Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -dm.";"PIN_: baseline=212, -dm=0; pin.exe: baseline=11, -dm=0; pinvm.dll: baseline=14, -dm=0; pinipc.dll: baseline=18, -dm=0";"True";"True";"VALID";"False";"True";"10,155";"10,158";;;"8,86";"8,954";"0,262";"521,532";"520,898";"-0,111";;"benchmark-benign-dm-1128D0B4-20260722-133718.json";"2026-07-22T13:37:19.1212260-04:00"
"1";"1128D0B41456073E0B22E328CE4A89D0877F7D18147DF6B339A4CCE758A1DAAB";"1128D0B4";"DO";"persistent";"observed";"PASS";"Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -do.";"baseline: Sleep invocado | Ticks + Latencia: 3185.98, Limite: 3000 | *** Overhead anomalo / possivel DBI ***; -do: Sleep invocado | Ticks + Latencia: 2159.87, Limite: 3000 | OK - nenhuma anomalia";"True";"True";"VALID";"False";"True";"10,142";"10,163";;;"8,633";"4,765";"-44,414";"521,496";"66,532";"-87,241";"1";"benchmark-benign-do-1128D0B4-20260722-134222.json";"2026-07-22T13:42:22.4491993-04:00"
"1";"1128D0B41456073E0B22E328CE4A89D0877F7D18147DF6B339A4CCE758A1DAAB";"1128D0B4";"DD";"persistent";"observed";"PASS";"Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -dd.";"baseline: ""PEB.NtGlobalFlag"" | Ocorrências: | Resumo de ocorrências: | IsDebuggerPresent          : 1 | CheckRemoteDebuggerPresent : 0 | ProcessDebugPort           : 0 | ProcessDebugObjectHandle   : 0 | PEB.BeingDebugged...";"True";"True";"VALID";"False";"True";"10,142";"10,151";;;"9,312";"8,68";"-5,751";"521,281";"521,588";"0,04";;"benchmark-benign-dd-1128D0B4-20260722-134603.json";"2026-07-22T13:46:04.1368541-04:00"
"1";"1128D0B41456073E0B22E328CE4A89D0877F7D18147DF6B339A4CCE758A1DAAB";"1128D0B4";"DP";"persistent";"observed";"PASS";"Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -dp.";"baseline: Ocorrências: | Resumo de ocorrências: | pin.exe     : 3 | pinvm.dll   : 0 | pinipc.dll  : 0 | TOMWare.dll : 0 | Alerta: mais de 0 ocorrências de ""pin.exe"" encontradas!; -dp: Ocorrências: | Resumo de ocorrências...";"True";"True";"VALID";"False";"True";"10,136";"10,165";;;"9";"9,578";"6,808";"521,701";"464,207";"-11,049";;"benchmark-benign-dp-1128D0B4-20260722-134947.json";"2026-07-22T13:49:47.3714036-04:00"
"2";"16B45C2C51D45CA4AE42B4251430113100142A5898F9B22D059F03456963BC2D";"16B45C2C";"DE";"persistent";"observed";"PASS";"Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -de.";"baseline: ""PIN_CRT_TZDATA=C:\TOMWare\pin/extras/crt/tzdata"" | ""PIN_CRT_TZDATA=C:\TOMWare\pin/extras/crt/tzdata"" (_dupenv_s) | Ocorrências: | Resumo de ocorrências: | PIN_APP_LD_LIBRARY_PATH : 0 | PIN_CRT_TZDATA          ...";"True";"True";"VALID";"False";"True";"10,15";"10,15";;;"10,18";"10,226";"0,766";"485,894";"494,062";"1,203";;"benchmark-benign-de-16B45C2C-20260722-113043.json";"2026-07-22T11:30:43.7330740-04:00"
"2";"16B45C2C51D45CA4AE42B4251430113100142A5898F9B22D059F03456963BC2D";"16B45C2C";"DM";"persistent";"observed";"PASS";"Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -dm.";"PIN_: baseline=212, -dm=0; pin.exe: baseline=11, -dm=0; pinvm.dll: baseline=14, -dm=0; pinipc.dll: baseline=18, -dm=0";"True";"True";"VALID";"False";"True";"10,133";"10,136";;;"10,148";"10,18";"0,236";"509,688";"505,386";"-1,303";;"benchmark-benign-dm-16B45C2C-20260722-113517.json";"2026-07-22T11:35:17.5610999-04:00"
"2";"16B45C2C51D45CA4AE42B4251430113100142A5898F9B22D059F03456963BC2D";"16B45C2C";"DO";"persistent";"observed";"PASS";"Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -do.";"baseline: Sleep invocado | Ticks + Latencia: 3614.78, Limite: 3000 | *** Overhead anomalo / possivel DBI ***; -do: Sleep invocado | Ticks + Latencia: 2080.83, Limite: 3000 | OK - nenhuma anomalia";"True";"True";"VALID";"False";"True";"10,131";"10,127";;;"10,118";"6,188";"-38,534";"487,768";"66,416";"-86,281";"1";"benchmark-benign-do-16B45C2C-20260722-114012.json";"2026-07-22T11:40:12.5453291-04:00"
"2";"16B45C2C51D45CA4AE42B4251430113100142A5898F9B22D059F03456963BC2D";"16B45C2C";"DD";"persistent";"observed";"PASS";"Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -dd.";"baseline: ""PEB.NtGlobalFlag"" | Ocorrências: | Resumo de ocorrências: | IsDebuggerPresent          : 1 | CheckRemoteDebuggerPresent : 0 | ProcessDebugPort           : 0 | ProcessDebugObjectHandle   : 0 | PEB.BeingDebugged...";"True";"True";"VALID";"False";"True";"10,122";"10,118";;;"10,156";"10,172";"0,152";"499,98";"503,574";"-0,38";;"benchmark-benign-dd-16B45C2C-20260722-114351.json";"2026-07-22T11:43:51.5769432-04:00"
"2";"16B45C2C51D45CA4AE42B4251430113100142A5898F9B22D059F03456963BC2D";"16B45C2C";"DP";"persistent";"observed";"PASS";"Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -dp.";"baseline: Ocorrências: | Resumo de ocorrências: | pin.exe     : 3 | pinvm.dll   : 0 | pinipc.dll  : 0 | TOMWare.dll : 0 | Alerta: mais de 0 ocorrências de ""pin.exe"" encontradas!; -dp: Ocorrências: | Resumo de ocorrências...";"True";"True";"VALID";"False";"True";"10,135";"10,142";;;"10,172";"9,367";"-8,386";"508,967";"428,2";"-15,948";;"benchmark-benign-dp-16B45C2C-20260722-114732.json";"2026-07-22T11:47:32.8891415-04:00"
