SampleIndex;Sha256;ShaShort;Countermeasure;Profile;SampleOutcome;FunctionalStatus;FunctionalAnswer;FunctionalEvidence;BaselineDetectedPin;CountermeasureMaskedPin;PerformanceStatus;RuntimeComparisonValid;ResourceComparisonValid;BaselineMedianSeconds;CountermeasureMedianSeconds;MedianDeltaSeconds;MedianChangePercent;BaselineMedianCpuSeconds;CountermeasureMedianCpuSeconds;MedianCpuChangePercent;BaselineMedianPeakWorkingSetMB;CountermeasureMedianPeakWorkingSetMB;MedianPeakWorkingSetChangePercent;DoReportAttempts;SourceJson;GeneratedAt
1;0f20b0c906f3ad95dbf75ed526b2fe4341fdf62ab8c971fc10e340091af75b3b;0F20B0C9;DE;persistent;observed;PASS;Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -de.;"baseline: ""PIN_CRT_TZDATA=C:\TOMWare\pin/extras/crt/tzdata"" | ""PIN_CRT_TZDATA=C:\TOMWare\pin/extras/crt/tzdata"" (_dupenv_s) | Ocorrências: | Resumo de ocorrências: | PIN_APP_LD_LIBRARY_PATH : 0 | PIN_CRT_TZDATA          : 1 | Alerta: mais de 0 ocorrências de ""PIN_CRT_TZDATA"" encontradas!; -de: Ocorrências: | Resumo de ocorrências: | PIN_APP_LD_LIBRARY_PATH : 0 | PIN_CRT_TZDATA          : 0 | OK - nenhuma anomalia";True;True;VALID;False;True;10.13;10.125;;;0.93;0.891;-2.15;118.156;117.953;-0.339;;benchmark-infected-all-0f20b0c9-20260722-182902.json;2026-07-22T18:29:02.6692165-04:00
1;0f20b0c906f3ad95dbf75ed526b2fe4341fdf62ab8c971fc10e340091af75b3b;0F20B0C9;DM;persistent;observed;PASS;Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -dm.;"PIN_: baseline=212, -dm=0; pin.exe: baseline=11, -dm=0; pinvm.dll: baseline=14, -dm=0; pinipc.dll: baseline=18, -dm=0";True;True;VALID;False;True;10.108;10.108;;;0.938;0.93;0.883;117.912;118.598;0.605;;benchmark-infected-all-0f20b0c9-20260722-182902.json;2026-07-22T18:29:02.6692165-04:00
1;0f20b0c906f3ad95dbf75ed526b2fe4341fdf62ab8c971fc10e340091af75b3b;0F20B0C9;DO;persistent;observed;PASS;Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -do.;"baseline: Sleep invocado | Ticks + Latencia: 3068.62, Limite: 3000 | *** Overhead anomalo / possivel DBI ***; -do: Sleep invocado | Ticks + Latencia: 2109.63, Limite: 3000 | OK - nenhuma anomalia";True;True;VALID;False;True;10.115;10.114;;;1.211;7.875;522.347;117.924;57.612;-51.079;1;benchmark-infected-all-0f20b0c9-20260722-182902.json;2026-07-22T18:29:02.6692165-04:00
1;0f20b0c906f3ad95dbf75ed526b2fe4341fdf62ab8c971fc10e340091af75b3b;0F20B0C9;DD;persistent;observed;PASS;Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -dd.;"baseline: ""PEB.NtGlobalFlag"" | Ocorrências: | Resumo de ocorrências: | IsDebuggerPresent          : 1 | CheckRemoteDebuggerPresent : 0 | ProcessDebugPort           : 0 | ProcessDebugObjectHandle   : 0 | PEB.BeingDebugged          : 1 | PEB.NtGlobalFlag           : 1 | Alerta: mais de 0 ocorrências de ""IsDebuggerPresent"" encontradas! | Alerta: mais de 0 ocorrências de ""PEB.BeingDebugged"" encontradas! | Alerta: mais de 0 ocorrências de ""PEB.NtGlobalFlag"" encontradas!; -dd: Ocorrências: | Resumo de ocorrências: | IsDebuggerPresent          : 0 | CheckRemoteDebuggerPresent : 0 | ProcessDebugPort           : 0 | ProcessDebugObjectHandle   : 0 | PEB.BeingDebugged          : 0 | PEB.NtGlobalFlag           : 0 | OK - nenhuma anomalia";True;True;VALID;False;True;10.116;10.138;;;1.148;1.133;2.922;117.955;118.084;0.196;;benchmark-infected-all-0f20b0c9-20260722-182902.json;2026-07-22T18:29:02.6692165-04:00
1;0f20b0c906f3ad95dbf75ed526b2fe4341fdf62ab8c971fc10e340091af75b3b;0F20B0C9;DP;persistent;observed;PASS;Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -dp.;"baseline: Ocorrências: | Resumo de ocorrências: | pin.exe     : 3 | pinvm.dll   : 0 | pinipc.dll  : 0 | TOMWare.dll : 0 | Alerta: mais de 0 ocorrências de ""pin.exe"" encontradas!; -dp: Ocorrências: | Resumo de ocorrências: | pin.exe     : 0 | pinvm.dll   : 0 | pinipc.dll  : 0 | TOMWare.dll : 0 | OK - nenhuma anomalia";True;True;VALID;False;True;10.114;10.138;;;1.125;2.062;66.96;118.08;118.395;0.184;;benchmark-infected-all-0f20b0c9-20260722-182902.json;2026-07-22T18:29:02.6692165-04:00
2;430b487c0bc9b53382537422209acbd1c6ae63773cacf0c9f7d61f23e7fa8485;430B487C;DE;persistent;observed;PASS;Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -de.;"baseline: ""PIN_CRT_TZDATA=C:\TOMWare\pin/extras/crt/tzdata"" | ""PIN_CRT_TZDATA=C:\TOMWare\pin/extras/crt/tzdata"" (_dupenv_s) | Ocorrências: | Resumo de ocorrências: | PIN_APP_LD_LIBRARY_PATH : 0 | PIN_CRT_TZDATA          : 1 | Alerta: mais de 0 ocorrências de ""PIN_CRT_TZDATA"" encontradas!; -de: Ocorrências: | Resumo de ocorrências: | PIN_APP_LD_LIBRARY_PATH : 0 | PIN_CRT_TZDATA          : 0 | OK - nenhuma anomalia";True;True;VALID;False;True;10.506;10.5;;;7.117;7.031;-0.337;204.158;190.754;0.557;;benchmark-infected-all-430b487c-20260722-190459.json;2026-07-22T19:05:00.1345552-04:00
2;430b487c0bc9b53382537422209acbd1c6ae63773cacf0c9f7d61f23e7fa8485;430B487C;DM;persistent;observed;PASS;Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -dm.;"PIN_: baseline=212, -dm=0; pin.exe: baseline=11, -dm=0; pinvm.dll: baseline=14, -dm=0; pinipc.dll: baseline=18, -dm=0";True;True;VALID;False;True;10.261;10.23;;;10.148;10.109;0.464;224.104;220.985;-2.169;;benchmark-infected-all-430b487c-20260722-190459.json;2026-07-22T19:05:00.1345552-04:00
2;430b487c0bc9b53382537422209acbd1c6ae63773cacf0c9f7d61f23e7fa8485;430B487C;DO;persistent;observed;PASS;Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -do.;"baseline: Sleep invocado | Ticks + Latencia: 4292.35, Limite: 3000 | *** Overhead anomalo / possivel DBI ***; -do: Sleep invocado | Ticks + Latencia: 2101.57, Limite: 3000 | OK - nenhuma anomalia";True;True;VALID;False;True;10.294;10.488;;;10.11;6.914;-32.183;211.1;60.055;-71.595;1;benchmark-infected-all-430b487c-20260722-190459.json;2026-07-22T19:05:00.1345552-04:00
2;430b487c0bc9b53382537422209acbd1c6ae63773cacf0c9f7d61f23e7fa8485;430B487C;DD;persistent;observed;PASS;Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -dd.;"baseline: ""PEB.NtGlobalFlag"" | Ocorrências: | Resumo de ocorrências: | IsDebuggerPresent          : 1 | CheckRemoteDebuggerPresent : 0 | ProcessDebugPort           : 0 | ProcessDebugObjectHandle   : 0 | PEB.BeingDebugged          : 1 | PEB.NtGlobalFlag           : 1 | Alerta: mais de 0 ocorrências de ""IsDebuggerPresent"" encontradas! | Alerta: mais de 0 ocorrências de ""PEB.BeingDebugged"" encontradas! | Alerta: mais de 0 ocorrências de ""PEB.NtGlobalFlag"" encontradas!; -dd: Ocorrências: | Resumo de ocorrências: | IsDebuggerPresent          : 0 | CheckRemoteDebuggerPresent : 0 | ProcessDebugPort           : 0 | ProcessDebugObjectHandle   : 0 | PEB.BeingDebugged          : 0 | PEB.NtGlobalFlag           : 0 | OK - nenhuma anomalia";True;True;VALID;False;True;10.221;10.247;;;10.188;10.18;-0.688;216.801;213.492;-0.506;;benchmark-infected-all-430b487c-20260722-190459.json;2026-07-22T19:05:00.1345552-04:00
2;430b487c0bc9b53382537422209acbd1c6ae63773cacf0c9f7d61f23e7fa8485;430B487C;DP;persistent;observed;PASS;Sim. O PoC detectou o Pin no baseline e confirmou a ocultacao com -dp.;"baseline: Ocorrências: | Resumo de ocorrências: | pin.exe     : 4 | pinvm.dll   : 0 | pinipc.dll  : 0 | TOMWare.dll : 0 | Alerta: mais de 0 ocorrências de ""pin.exe"" encontradas!; -dp: Ocorrências: | Resumo de ocorrências: | pin.exe     : 0 | pinvm.dll   : 0 | pinipc.dll  : 0 | TOMWare.dll : 0 | OK - nenhuma anomalia";True;True;VALID;False;True;10.27;10.25;;;10.18;9.36;-8.485;221.762;207.404;-7.527;;benchmark-infected-all-430b487c-20260722-190459.json;2026-07-22T19:05:00.1345552-04:00
